

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.087199   0.000244   0.015027   0.015270   0.000000  -0.000000  -0.059297  -0.000000  -0.000000   19.3400    -0.1769
   -4.000     0.000   0.002557   0.000006   0.013379   0.013385   0.000000  -0.000000  -0.092093  -0.000000  -0.000000   19.3400     9.1450
   -3.000     0.000   0.092348   0.000293   0.012120   0.012413   0.000000  -0.000000  -0.124954  -0.000000   0.000000   19.3400     0.3396
   -2.000     0.000   0.182120   0.001107   0.011169   0.012276   0.000000  -0.000000  -0.157847   0.000000   0.000000   19.3400     0.2160
   -1.000     0.000   0.271816   0.002447   0.010424   0.012871   0.000000  -0.000000  -0.190739   0.000000   0.000000   19.3400     0.1740
    0.000     0.000   0.361383   0.004310   0.009689   0.013999   0.000000  -0.000000  -0.223594   0.000000   0.000000   19.3400     0.1529
    1.000     0.000   0.450766   0.006693   0.008717   0.015411   0.000000  -0.000000  -0.256370   0.000000   0.000000   19.3400     0.1401
    2.000     0.000   0.539910   0.009591   0.008624   0.018215   0.000000  -0.000000  -0.289038   0.000000   0.000000   19.3400     0.1316
    3.000     0.000   0.628761   0.012997   0.008909   0.021906   0.000000  -0.000000  -0.321564  -0.000000  -0.000000   19.3400     0.1254
    4.000     0.000   0.717267   0.016902   0.009376   0.026278   0.000000  -0.000000  -0.353912  -0.000000  -0.000000   19.3400     0.1207
    5.000     0.000   0.805372   0.021296   0.009937   0.031234   0.000000  -0.000000  -0.386043  -0.000000  -0.000000   19.3400     0.1170
    6.000     0.000   0.893026   0.026169   0.010514   0.036683   0.000000   0.000000  -0.417917  -0.000000  -0.000000   19.3400     0.1140
    7.000     0.000   0.980177   0.031506   0.011131   0.042637   0.000000   0.000000  -0.449497  -0.000000  -0.000000   19.3400     0.1115
    8.000     0.000   1.066773   0.037293   0.011771   0.049064   0.000000   0.000000  -0.480743  -0.000000  -0.000000   19.3400     0.1093
    9.000     0.000   1.152764   0.043516   0.012476   0.055992   0.000000   0.000000  -0.511622  -0.000000  -0.000000   19.3400     0.1075
   10.000     0.000   1.238101   0.050156   0.013359   0.063515   0.000000   0.000000  -0.542102  -0.000000  -0.000000   19.3400     0.1058
   11.000     0.000   1.322736   0.057195   0.015127   0.072322   0.000000   0.000000  -0.572196  -0.000000  -0.000000   19.3400     0.1043


